Rk,Name,Age,Tm
651,Matt Halbach,23,CHC
652,Steele Hall,18,CIN
653,Petey Halpin,24,CLE
654,Colby Halter,24,ATH
655,David Hamilton,28,MIL
656,Garrett Hampson,31,CIN
657,Maverick Handley,28,BAL
658,Luke Hanson,22,TEX
659,Ian Happ,31,CHC
660,Parks Harber,24,SF
661,Tyler Hardman,27,NYY
662,Theo Hardy,24,TEX
663,Chase Harlan,19,LAD
664,Bryce Harper,33,PHI
665,Gage Harrelson,22,LAA
666,Michael Harris II,25,ATL
667,Dustin Harris,26,CWS
668,Dakota Harris,24,STL
669,Brett Harris,28,ATH
670,Jay Harry,23,TOR
671,Ben Hartl,23,TEX
672,Eric Hartman,20,ATL
673,Josiah Hartshorn,19,CHC
674,Robert Hassell III,24,WSH
675,Trevor Hauver,27,TEX
676,Kyle Hayes,28,KC
677,Ke'Bryan Hayes,29,CIN
678,Austin Hays,30,CWS
679,Dillon Head,21,MIA
680,Ethan Hedges,22,COL
681,Austin Hedges,33,CLE
682,Jonah Heim,31,ATL
683,Tyler Heineman,35,TOR
684,Michael Helman,30,TEX
685,Gunnar Henderson,25,BAL
686,Austin Hendrick,25,CIN
687,Kyle Henley,21,CIN
688,Yonatan Henriquez,21,NYM
689,Julio Henriquez,21,MIA
690,Payton Henry,29,NYY
691,Raylin Heredia,22,PHI
692,Darell Hernaiz,24,ATH
693,Yonny Hernández,28,NYM
694,Teoscar Hernández,33,LAD
695,Sammy Hernandez,22,STL
696,Ronald Hernandez,22,NYM
697,Omar Hernandez,24,KC
698,Merphy Hernandez,19,MIN
699,Maikol Hernández,22,BAL
700,Jesus Hernandez,22,MIA
701,Heriberto Hernández,26,MIA
702,Cristian Hernández,22,MIA
703,Yilber Herrera,21,MIN
704,Reiner Herrera,20,CLE
705,Kendrick Herrera,19,PIT
706,José Herrera,29,TEX
707,Iván Herrera,26,STL
708,Kyle Hess,27,MIN
709,Kehden Hettiger,22,PHI
710,Nathan Hickey,26,BOS
711,Brewer Hicklen,30,ATL
712,Liam Hicks,27,MIA
713,Kelvin Hidalgo,21,COL
714,Kyle Higashioka,36,TEX
715,P.J. Higgins,33,CIN
716,Cobb Hightower,21,BAL
717,Turner Hill,27,SF
718,Luke Hill,22,CLE
719,GJ Hill,25,COL
720,Derek Hill,30,CWS
721,P.J. Hilson,25,PIT
722,Jacob Hinderleider,25,COL
723,Rece Hinds,25,CIN
724,Keston Hiura,29,LAD
725,Caleb Hobson,24,COL
726,Douglas Hodo,25,BAL
727,Nico Hoerner,29,CHC
728,Matt Hogan,26,CWS
729,Jonathan Hogart,24,PHI
730,Ethan Holliday,19,COL
731,Jake Holton,28,SF
732,Max Holy,23,HOU
733,Vance Honeycutt,23,BAL
734,Travis Honeyman,24,STL
735,Josh Hood,25,SEA
736,Zyhir Hope,21,LAD
737,Tommy Hopfe,23,COL
738,Jackson Hornung,25,TOR
739,Mac Horvath,24,TB
740,Spencer Horwitz,28,PIT
741,Rhys Hoskins,33,CLE
742,Bennett Hostetler,28,MIA
743,Colin Houck,21,NYM
744,Maddux Houghton,27,MIN
745,Brady House,23,WSH
746,Marek Houston,22,MIN
747,Ed Howard,24,CHC
748,Garrett Howe,23,CLE
749,Anthony Huezo,20,HOU
750,Sam Huff,28,BAL
751,Kody Huff,25,CLE
752,Connor Hujsak,24,TB
753,Jacob Humphrey,23,COL
754,Zach Humphreys,28,LAA
755,Nathan Humphreys,23,PHI
756,Cade Hunter,25,CIN
757,Jack Hurley,24,AZ
758,Jacob Hurtubise,28,MIL
759,Andy Ibáñez,33,ATH
760,Ruben Ibarra,27,CIN
761,Ryan Ignoffo,25,MIA
762,Jonathan India,29,KC
763,Cooper Ingle,24,CLE
764,Ike Irish,22,BAL
765,Xavier Isaac,22,TB
766,Kyle Isbel,29,KC
767,Jose Izarra,24,LAD
768,Ryan Jackson,24,SD
769,JoJo Jackson,23,NYY
770,Jeremiah Jackson,26,BAL
771,Isaiah Jackson,22,BOS
772,Core Jackson,22,NYY
773,Alex Jackson,30,MIN
774,Kamren James,26,TB
775,Coy James,19,WSH
776,Walker Janek,23,HOU
777,Danny Jansen,31,TEX
778,Mike Jarvis,28,PIT
779,Jim Jarvis,25,ATL
780,Dylan Jasso,23,MIA
781,Chase Jaworsky,21,MIA
782,Mitch Jebb,24,PIT
783,Ryan Jeffers,29,MIN
784,Walker Jenkins,21,MIN
785,Andrew Jenkins,25,DET
786,Jacob Jenkins-Cowart,23,MIA
787,Carter Jensen,22,KC
788,Manolfi Jimenez,21,PHI
789,Leo Jimenez,25,TOR
790,Hansel Jimenez,19,CIN
791,Frederik Jimenez,21,BOS
792,Eloy Jiménez,29,TOR
793,Antonio Jimenez,22,NYM
794,Connor Joe,33,SEA
795,Termarr Johnson,22,PIT
796,Justin Johnson,26,KC
797,Ivan Johnson,27,CIN
798,Daniel Johnson,30,MIA
799,Cooper Johnson,28,TEX
800,Carter Johnson,20,MIA
801,Bryce Johnson,30,SD
802,Troy Johnston,29,COL
803,Spencer Jones,25,NYY
804,Nolan Jones,28,CLE
805,Keith Jones,24,TEX
806,Jared Jones,22,PIT
807,Jahmai Jones,28,DET
808,Greg Jones,28,MIL
809,Druw Jones,22,AZ
810,Colby Jones,22,ATL
811,Brock Jones,25,TB
812,Brendan Jones,24,MIA
813,Levi Jordan,30,WSH
814,Dakota Jordan,23,SF
815,Blaze Jordan,23,STL
816,Dyan Jorge,23,COL
817,Carlos Jorge,22,CIN
818,Tavian Josenberger,24,BAL
819,Jakey Josepha,22,AZ
820,Simon Juan,20,NYM
821,Aaron Judge,34,NYY
822,Edouard Julien,27,COL
823,Corey Julks,30,DET
824,Josh Jung,28,TEX
825,Jace Jung,25,DET
826,Connor Kaiser,29,KC
827,Brian Kalmer,25,CHC
828,Braedon Karpathios,23,SD
829,Kyle Karros,23,COL
830,Josh Kasevich,25,TOR
831,Niko Kavadas,27,LAA
832,C.J. Kayfus,24,CLE
833,Luke Keaschall,23,MIN
834,Dominic Keegan,25,TB
835,DaShawn Keirsey Jr.,29,ATL
836,Damon Keith,26,LAD
837,Colt Keith,24,DET
838,Jarred Kelenic,26,CWS
839,Carson Kelly,31,CHC
840,Tyriq Kemp,23,KC
841,Otto Kemp,26,PHI
842,Caden Kendle,24,MIN
843,Buddy Kennedy,27,SF
844,Nic Kent,26,COL
845,Kaeden Kent,22,NYY
846,Kane Kepley,22,CHC
847,Grae Kessinger,28,NYM
